shape function name	shape name	super class	set of base actions	turn angles
two_intersect_sectors3	two_intersect_sectors3	sector	line_0.3, line_0.632, line_0.3, arc_0.5_106.26, line_0.632, line_0.632, arc_0.5_-106.26	L0--L90.0--L90.0--L18.43--R101.57--R120.0--L131.57
square_dagger1	square dagger1	octagon*	line_0.4, line_0.4, line_0.4, line_0.4, line_0.608, line_0.412, line_0.412, line_0.608	L0--L90.0--L90.0--L90.0--R80.538--L156.501--R61.928--L156.501
square_dagger2	square dagger2	octagon*	line_0.4, line_0.4, line_0.4, line_0.4, line_0.608, line_0.412, line_0.412, line_0.608	L0--L90.0--L90.0--L90.0--R110.538--L156.501--R61.928--L156.501
square_dagger3	square dagger3	octagon*	line_0.4, line_0.4, line_0.4, line_0.4, line_0.608, line_0.412, line_0.412, line_0.608	L0--L90.0--L90.0--L90.0--R140.538--L156.501--R61.928--L156.501
square_dagger4	square dagger4	octagon*	line_0.2, line_0.2, line_0.2, line_0.2, line_0.851, line_0.577, line_0.577, line_0.851	L0--L90.0--L90.0--L90.0--R80.538--L156.501--R61.928--L156.501
square_dagger5	square dagger5	octagon*	line_0.2, line_0.2, line_0.2, line_0.2, line_0.851, line_0.577, line_0.577, line_0.851	L0--L90.0--L90.0--L90.0--R110.538--L156.501--R61.928--L156.501
square_dagger6	square dagger6	octagon*	line_0.2, line_0.2, line_0.2, line_0.2, line_0.851, line_0.577, line_0.577, line_0.851	L0--L90.0--L90.0--L90.0--R140.538--L156.501--R61.928--L156.501
square_dagger7	square dagger7	octagon*	line_0.7, line_0.7, line_0.7, line_0.7, line_0.405, line_0.275, line_0.275, line_0.405	L0--L90.0--L90.0--L90.0--R80.538--L156.501--R61.928--L156.501
square_dagger8	square dagger8	octagon*	line_0.7, line_0.7, line_0.7, line_0.7, line_0.405, line_0.275, line_0.275, line_0.405	L0--L90.0--L90.0--L90.0--R110.538--L156.501--R61.928--L156.501
square_dagger9	square dagger9	octagon*	line_0.7, line_0.7, line_0.7, line_0.7, line_0.405, line_0.275, line_0.275, line_0.405	L0--L90.0--L90.0--L90.0--R140.538--L156.501--R61.928--L156.501
trapezoid_parallel1	trapezoid parallel1	octagon*	line_0.447, line_0.4, line_0.447, line_0.4, line_0.447, line_0.2, line_0.447, line_0.6	L0--L116.565--L63.435--L116.565--R33.435--L63.435--L63.435--L116.565
trapezoid_parallel2	trapezoid parallel2	octagon*	line_0.447, line_0.4, line_0.447, line_0.4, line_0.447, line_0.2, line_0.447, line_0.6	L0--L116.565--L63.435--L116.565--R83.435--L63.435--L63.435--L116.565
trapezoid_parallel3	trapezoid parallel3	octagon*	line_0.447, line_0.4, line_0.447, line_0.4, line_0.447, line_0.2, line_0.447, line_0.6	L0--L116.565--L63.435--L116.565--R123.435--L63.435--L63.435--L116.565
trapezoid_parallel4	trapezoid parallel4	octagon*	line_0.224, line_0.2, line_0.224, line_0.2, line_0.626, line_0.28, line_0.626, line_0.84	L0--L116.565--L63.435--L116.565--R33.435--L63.435--L63.435--L116.565
trapezoid_parallel5	trapezoid parallel5	octagon*	line_0.224, line_0.2, line_0.224, line_0.2, line_0.626, line_0.28, line_0.626, line_0.84	L0--L116.565--L63.435--L116.565--R83.435--L63.435--L63.435--L116.565
trapezoid_parallel6	trapezoid parallel6	octagon*	line_0.224, line_0.2, line_0.224, line_0.2, line_0.626, line_0.28, line_0.626, line_0.84	L0--L116.565--L63.435--L116.565--R123.435--L63.435--L63.435--L116.565
trapezoid_triangle1	trapezoid triangle1	heptagon*	line_0.5, line_0.781, line_0.6, line_0.447, line_0.6, line_0.447, line_0.2	L0--L129.806--L140.194--R146.565--L116.565--L116.656--L63.435
trapezoid_triangle2	trapezoid triangle2	heptagon*	line_0.5, line_0.781, line_0.6, line_0.447, line_0.6, line_0.447, line_0.2	L0--L129.806--L140.194--R106.565--L116.565--L116.435--L63.435
trapezoid_triangle3	trapezoid triangle3	heptagon*	line_0.5, line_0.781, line_0.6, line_0.447, line_0.6, line_0.447, line_0.2	L0--L129.806--L140.194--R66.565--L116.565--L116.435--L63.435
trapezoid_triangle4	trapezoid triangle4	heptagon*	line_0.25, line_0.391, line_0.3, line_0.626, line_0.84, line_0.626, line_0.28	L0--L129.806--L140.194--R146.565--L116.565--L116.656--L63.435
trapezoid_triangle5	trapezoid triangle5	heptagon*	line_0.25, line_0.391, line_0.3, line_0.626, line_0.84, line_0.626, line_0.28	L0--L129.806--L140.194--R106.565--L116.565--L116.435--L63.435
trapezoid_triangle6	trapezoid triangle6	heptagon*	line_0.25, line_0.391, line_0.3, line_0.626, line_0.84, line_0.626, line_0.28	L0--L129.806--L140.194--R66.565--L116.565--L116.435--L63.435
dagger_triangle1	dagger triangle1	heptagon*	line_0.894, line_0.5, line_0.5, line_0.583, line_0.361, line_0.361, line_0.583	L0--L153.435--L53.13--R120.964--L154.654--R67.38--L154.654
dagger_triangle2	dagger triangle2	heptagon*	line_0.894, line_0.5, line_0.5, line_0.583, line_0.361, line_0.361, line_0.583	L0--L153.435--L53.13--R60.964--L154.654--R67.38--L154.654
dagger_triangle3	dagger triangle3	heptagon*	line_0.894, line_0.5, line_0.5, line_0.583, line_0.361, line_0.361, line_0.583	L0--L153.435--L53.13--L29.036--L154.654--R67.38--L154.654
dagger_triangle4	dagger triangle4	heptagon*	line_0.447, line_0.25, line_0.25, line_0.816, line_0.505, line_0.505, line_0.816	L0--L153.435--L53.13--R120.964--L154.654--R67.38--L154.654
dagger_triangle5	dagger triangle5	heptagon*	line_0.447, line_0.25, line_0.25, line_0.816, line_0.505, line_0.505, line_0.816	L0--L153.435--L53.13--R60.964--L154.654--R67.38--L154.654
dagger_triangle6	dagger triangle6	heptagon*	line_0.447, line_0.25, line_0.25, line_0.816, line_0.505, line_0.505, line_0.816	L0--L153.435--L53.13--L29.036--L154.654--R67.38--L154.654
dagger_sector1	dagger sector1	sector*	line_0.5, arc_0.5_60.0, line_0.5, line_0.583, line_0.306, line_0.306, line_0.583	L0--L90.0--L90.0--R91.928--L141.37--R39.207--L141.37
dagger_sector2	dagger sector2	sector*	line_0.5, arc_0.5_60.0, line_0.5, line_0.583, line_0.306, line_0.306, line_0.583	L0--L90.0--L90.0--R141.928--L141.37--R39.207--L141.37
dagger_sector3	dagger sector3	sector*	line_0.5, arc_0.5_60.0, line_0.5, line_0.583, line_0.306, line_0.306, line_0.583	L0--L90.0--L90.0--R161.928--L141.37--R39.207--L141.37
dagger_sector4	dagger sector4	sector*	line_0.5, arc_0.5_60.0, line_0.5, line_0.292, line_0.153, line_0.153, line_0.292	L0--L90.0--L90.0--R91.928--L141.37--R39.207--L141.37
dagger_sector5	dagger sector5	sector*	line_0.5, arc_0.5_60.0, line_0.5, line_0.292, line_0.153, line_0.153, line_0.292	L0--L90.0--L90.0--R141.928--L141.37--R39.207--L141.37
dagger_sector6	dagger sector6	sector*	line_0.5, arc_0.5_60.0, line_0.5, line_0.292, line_0.153, line_0.153, line_0.292	L0--L90.0--L90.0--R161.928--L141.37--R39.207--L141.37
parallel_sector1	parallel sector1	sector*	line_0.5, arc_0.5_100.0, line_0.5, line_0.5, line_0.5, line_0.5, line_0.5	L0--L90.0--L90.0--R100.0--L130.0--L50.0--L130.0
parallel_sector2	parallel sector2	sector*	line_0.5, arc_0.5_100.0, line_0.5, line_0.5, line_0.5, line_0.5, line_0.5	L0--L90.0--L90.0--R70.0--L130.0--L50.0--L130.0
parallel_sector3	parallel sector3	sector*	line_0.5, arc_0.5_100.0, line_0.5, line_0.5, line_0.5, line_0.5, line_0.5	L0--L90.0--L90.0--R150.0--L130.0--L50.0--L130.0
parallel_sector4	parallel sector4	sector*	line_0.5, arc_0.5_100.0, line_0.5, line_0.2, line_0.2, line_0.2, line_0.2	L0--L90.0--L90.0--R100.0--L130.0--L50.0--L130.0
parallel_sector5	parallel sector5	sector*	line_0.5, arc_0.5_100.0, line_0.5, line_0.2, line_0.2, line_0.2, line_0.2	L0--L90.0--L90.0--R70.0--L130.0--L50.0--L130.0
parallel_sector6	parallel sector6	sector*	line_0.5, arc_0.5_100.0, line_0.5, line_0.2, line_0.2, line_0.2, line_0.2	L0--L90.0--L90.0--R150.0--L130.0--L50.0--L130.0
hat_sector1	hat sector1	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.5, line_0.8, line_0.447, line_0.447, line_0.5	L0--L90.0--L90.0--R90.0--L126.87--L153.435--R126.87--L153.435
hat_sector2	hat sector2	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.5, line_0.8, line_0.447, line_0.447, line_0.5	L0--L90.0--L90.0--R120.0--L126.87--L153.435--R126.87--L153.435
hat_sector3	hat sector3	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.5, line_0.8, line_0.447, line_0.447, line_0.5	L0--L90.0--L90.0--R60.0--L126.87--L153.435--R126.87--L153.435
hat_sector4	hat sector4	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.227, line_0.364, line_0.203, line_0.203, line_0.227	L0--L90.0--L90.0--R90.0--L126.87--L153.435--R126.87--L153.435
hat_sector5	hat sector5	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.227, line_0.364, line_0.203, line_0.203, line_0.227	L0--L90.0--L90.0--R120.0--L126.87--L153.435--R126.87--L153.435
hat_sector6	hat sector6	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.227, line_0.364, line_0.203, line_0.203, line_0.227	L0--L90.0--L90.0--R60.0--L126.87--L153.435--R126.87--L153.435
hat_sector7	hat sector7	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.5, line_0.762, line_0.412, line_0.4, line_0.316	L0--L90.0--L90.0--R90.0--L103.671--L99.162--L104.036--R71.565
hat_sector8	hat sector8	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.5, line_0.762, line_0.412, line_0.4, line_0.316	L0--L90.0--L90.0--R120.0--L103.671--L99.162--L104.036--R71.565
hat_sector9	hat sector9	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.5, line_0.762, line_0.412, line_0.4, line_0.316	L0--L90.0--L90.0--R60.0--L103.671--L99.162--L104.036--R71.565
hat_sector10	hat sector10	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.25, line_0.381, line_0.206, line_0.2, line_0.158	L0--L90.0--L90.0--R90.0--L103.671--L99.162--L104.036--R71.565
hat_sector11	hat sector11	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.25, line_0.381, line_0.206, line_0.2, line_0.158	L0--L90.0--L90.0--R120.0--L103.671--L99.162--L104.036--R71.565
hat_sector12	hat sector12	sector*	line_0.5, arc_0.5_90.0, line_0.5, line_0.25, line_0.381, line_0.206, line_0.2, line_0.158	L0--L90.0--L90.0--R60.0--L103.671--L99.162--L104.036--R71.565
jar_triangle1	jar triangle1	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.66, line_0.66, line_0.66	L0--L78.69--L53.13--L70.56--R80.0--L120.0--L120.0
jar_triangle2	jar triangle2	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.66, line_0.66, line_0.66	L0--L78.69--L53.13--L70.56--R110.0--L120.0--L120.0
jar_triangle3	jar triangle3	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.66, line_0.66, line_0.66	L0--L78.69--L53.13--L70.56--R30.0--L120.0--L120.0
jar_triangle4	jar triangle4	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.22, line_0.22, line_0.22	L0--L78.69--L53.13--L70.56--R80.0--L120.0--L120.0
jar_triangle5	jar triangle5	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.22, line_0.22, line_0.22	L0--L78.69--L53.13--L70.56--R110.0--L120.0--L120.0
jar_triangle6	jar triangle6	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.22, line_0.22, line_0.22	L0--L78.69--L53.13--L70.56--R30.0--L120.0--L120.0
jar_square1	jar square1	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.46, line_0.46, line_0.46, line_0.46	L0--L78.69--L53.13--L70.56--R110.0--L90.0--L90.0--L90.0
jar_square2	jar square2	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.46, line_0.46, line_0.46, line_0.46	L0--L78.69--L53.13--L70.56--R140.0--L90.0--L90.0--L90.0
jar_square3	jar square3	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.46, line_0.46, line_0.46, line_0.46	L0--L78.69--L53.13--L70.56--R60.0--L90.0--L90.0--L90.0
jar_square4	jar square4	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.18, line_0.18, line_0.18, line_0.18	L0--L78.69--L53.13--L70.56--R110.0--L90.0--L90.0--L90.0
jar_square5	jar square5	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.18, line_0.18, line_0.18, line_0.18	L0--L78.69--L53.13--L70.56--R140.0--L90.0--L90.0--L90.0
jar_square6	jar square6	sector*	line_0.51, line_0.3, arc_0.5_90.0, line_0.361, line_0.18, line_0.18, line_0.18, line_0.18	L0--L78.69--L53.13--L70.56--R60.0--L90.0--L90.0--L90.0
irregular_jar_triangle1	irregular jar triangle1	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.781, line_0.949, line_0.5	L0--R56.31--L109.44--L90.0--R60.0--L148.241--L124.695
irregular_jar_triangle2	irregular jar triangle2	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.781, line_0.949, line_0.5	L0--R56.31--L109.44--L90.0--R120.0--L148.241--L124.695
irregular_jar_triangle3	irregular jar triangle3	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.781, line_0.949, line_0.5	L0--R56.31--L109.44--L90.0--R30.0--L148.241--L124.695
irregular_jar_triangle4	irregular jar triangle4	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.312, line_0.38, line_0.2	L0--R56.31--L109.44--L90.0--R60.0--L148.241--L124.695
irregular_jar_triangle5	irregular jar triangle5	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.312, line_0.38, line_0.2	L0--R56.31--L109.44--L90.0--R120.0--L148.241--L124.695
irregular_jar_triangle6	irregular jar triangle6	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.312, line_0.38, line_0.2	L0--R56.31--L109.44--L90.0--R30.0--L148.241--L124.695
irregular_jar_dagger1	irregular jar dagger1	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.566, line_0.51, line_0.51, line_0.721	L0--R56.31--L109.44--L90.0--R120.0--L146.31--R22.62--L157.62
irregular_jar_dagger2	irregular jar dagger2	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.566, line_0.51, line_0.51, line_0.721	L0--R56.31--L109.44--L90.0--R150.0--L146.31--R22.62--L157.62
irregular_jar_dagger3	irregular jar dagger3	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.566, line_0.51, line_0.51, line_0.721	L0--R56.31--L109.44--L90.0--R60.0--L146.31--R22.62--L157.62
irregular_jar_dagger4	irregular jar dagger4	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.566, line_0.51, line_0.51, line_0.721	L0--R56.31--L109.44--L90.0--R30.0--L146.31--R22.62--L157.62
irregular_jar_dagger5	irregular jar dagger5	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.226, line_0.204, line_0.204, line_0.288	L0--R56.31--L109.44--L90.0--R120.0--L146.31--R22.62--L157.62
irregular_jar_dagger6	irregular jar dagger6	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.226, line_0.204, line_0.204, line_0.288	L0--R56.31--L109.44--L90.0--R150.0--L146.31--R22.62--L157.62
irregular_jar_dagger7	irregular jar dagger7	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.226, line_0.204, line_0.204, line_0.288	L0--R56.31--L109.44--L90.0--R60.0--L146.31--R22.62--L157.62
irregular_jar_dagger8	irregular jar dagger8	sector*	line_0.2, line_0.361, arc_0.5_90.0, line_0.5, line_0.226, line_0.204, line_0.204, line_0.288	L0--R56.31--L109.44--L90.0--R30.0--L146.31--R22.62--L157.62
advanced_lamp1	advanced lamp1	enneagon*	line_0.6, line_0.283, line_0.4, line_0.447, line_0.539, line_0.539, line_0.447, line_0.4, line_0.283	L0--L135.0--R45.0--R63.435--L131.634--L43.603--L131.634--R63.435--R45.0
advanced_lamp2	advanced lamp2	enneagon*	line_0.6, line_0.283, line_0.4, line_0.447, line_0.539, line_0.566, line_0.3, line_0.4, line_0.283	L0--L135.0--R45.0--R63.435--L131.634--L66.801--L135.0--R90.0--R45.0
advanced_lamp3	advanced lamp3	enneagon*	line_0.6, line_0.283, line_0.4, line_0.3, line_0.566, line_0.566, line_0.3, line_0.4, line_0.283	L0--L135.0--R45.0--R90.0--L135.0--L90.0--L135.0--R90.0--R45.0
advanced_lamp4	advanced lamp4	enneagon*	line_0.6, line_0.283, line_0.4, line_0.3, line_0.4, line_0.9, line_0.566, line_0.4, line_0.283	L0--L135.0--R45.0--R90.0--L90.0--L90.0--L135.0--R45.0--R45.0
advanced_lamp5	advanced lamp5	enneagon*	line_0.6, line_0.283, line_0.4, line_0.3, line_0.566, line_0.5, line_0.566, line_0.4, line_0.283	L0--L135.0--R45.0--R90.0--L135.0--L45.0--L135.0--R45.0--R45.0
advanced_lamp6	advanced lamp6	enneagon*	line_1.0, line_0.447, line_0.4, line_0.3, line_0.4, line_0.985, line_0.4, line_0.4, line_0.447	L0--L153.435--R63.435--R90.0--L90.0--L113.962--L156.038--R90.0--R63.435
advanced_lamp7	advanced lamp7	enneagon*	line_0.4, line_0.141, line_0.8, line_0.141, line_0.283, line_0.283, line_0.141, line_0.8, line_0.141	L0--L135.0--R45.0--R45.0--L90.0--L90.0--L90.0--R45.0--R45.0
thin_sym_nail1	thin symmetric nail1	hexagon	line_0.7, line_0.316, line_0.316, line_0.7, line_0.316, line_0.316	L0--L18.435--L143.13--L18.435--L18.435--L143.13
thin_sym_nail2	thin symmetric nail2	hexagon	line_0.5, line_0.316, line_0.316, line_0.5, line_0.51, line_0.51	L0--L18.435--L143.13--L18.435--L11.31--L157.38
thin_sym_nail3	thin symmetric nail3	hexagon	line_0.5, line_0.51, line_0.316, line_0.5, line_0.51, line_0.316	L0--L11.31--L150.255--L18.435--L11.31--L150.255
thin_sym_nail4	thin symmetric nail4	pentagon	line_0.9, line_0.51, line_0.316, line_0.5, line_0.632	L0--L11.31--L150.255--L18.435--L18.435
thin_sym_nail5	thin symmetric nail5	pentagon	line_1.0, line_0.172, line_0.243, line_0.538, line_0.415	L0--L26.565--L135--L18.435--L21.801
thin_sym_nail6	thin symmetric nail6	pentagon	line_0.9, line_0.31, line_0.506, line_0.7, line_0.16	L0--L14.931--L155.978--L9.09--L90
thin_sym_nail7	thin symmetric nail7	pentagon	line_0.9, line_0.31, line_0.31, line_0.9, line_0.16	L0--L14.931--L150.137--L14.931--L90
open_triangle1	open triangle1	quadrangle*	line_0.8, line_0.8, line_0.8	L0--L90--L90
open_triangle2	open triangle2	quadrangle*	line_0.9, line_0.5, line_0.9	L0--L90--L90
open_triangle3	open triangle3	quadrangle*	line_0.5, line_0.4, line_0.7	L0--L45--L135
open_triangle4	open triangle4	quadrangle*	line_0.3, line_0.6, line_0.4	L0--L60--L120
open_triangle5	open triangle5	quadrangle*	line_0.6, line_0.848, line_0.6	L0--R135--L135
open_triangle6	open triangle6	quadrangle*	line_0.5, line_1.0, line_0.5	L0--R120--L120
open_triangle7	open triangle7	triangle*	line_0.5, line_0.5, line_0.9	L0--L120--L120
open_triangle8	open triangle8	triangle*	line_0.848, line_0.6, line_1.0	L0--L135--L90
open_triangle9	open triangle9	triangle*	line_1.0, line_0.577, line_0.9	L0--L150.0--L60.0
open_triangle10	open triangle10	triangle*	line_1.0, line_0.732, line_1.0	L0--L150.0--L75.0
bala_two_intersect_circles_new1	balanced two intersect circles new1	arc	arc_0.5_75.0, arc_0.5_-75.0, arc_0.5_-75.0, arc_0.5_75.0	L0--R180.0--R105.0--L180.0
bala_two_intersect_circles_new2	balanced two intersect circles new2	arc	arc_0.5_75.0, arc_0.5_-75.0, arc_0.5_-75.0, arc_0.5_75.0	L0--R150.0--R105.0--L150.0
bala_two_intersect_circles_new3	balanced two intersect circles new3	arc	arc_0.5_75.0, arc_0.5_-75.0, arc_0.5_-75.0, arc_0.5_75.0	L0--R120.0--R105.0--L120.0
bala_two_intersect_circles_new4	balanced two intersect circles new4	arc	arc_0.5_75.0, arc_0.5_-75.0, arc_0.5_-75.0, arc_0.5_75.0	L0--R90.0--R105.0--L90.0
medium_intersect_circle	medium linersection of two circles	arc	arc_0.5_120.0, arc_0.5_120.0	L0--L60.0
open_line_s_new1	open line s new1	arc	arc_0.5_60.0, line_0.4, arc_0.5_-60.0	L0--L0.0--L180.0
open_line_s_new2	open line s new2	arc	line_0.3, arc_0.5_45.0, arc_0.5_-45.0, line_0.3	L0--L0.0--L180.0--L180
open_s_new1	open s new1	arc	arc_0.5_75.0, arc_0.5_-75.0	L0--L180.0
open_s_new2	open s new2	arc	arc_0.5_105.0, arc_0.5_-105.0	L0--L180.0
